1	1	1	 In the beginning, God created the universe. 
1	1	2	 When the earth was as yet unformed and desolate, with the surface of the ocean depths shrouded in darkness, and while the Spirit of God was hovering over the surface of the waters, 
1	1	3	 God said, “Let there be light!” So there was light. 
1	1	4	 God saw that the light was beautiful. He separated the light from the darkness, 
1	1	5	 calling the light “day,” and the darkness “night.” The twilight and the dawn were day one. 
1	1	6	 Then God said, “Let there be a canopy between bodies of water, separating bodies of water from bodies of water!” 
1	1	7	 So God made a canopy that separated the water beneath the canopy from the water above it. And that is what happened: 
1	1	8	 God called the canopy “sky.” The twilight and the dawn were the second day. 
1	1	9	 Then God said, “Let the water beneath the sky come together into one area, and let dry ground appear!” And that is what happened: 
1	1	10	 God called the dry ground “land,” and he called the water that had come together “oceans.” And God saw how good it was. 
1	1	11	 Then God said, “Let vegetation sprout all over the earth, including seed-bearing plants and fruit trees, each kind containing its own seed!” And that is what happened: 
1	1	12	 Vegetation sprouted all over the earth, including seed-bearing plants and fruit trees, each kind containing its own seed. And God saw that it was good. 
1	1	13	 The twilight and the dawn were the third day. 
1	1	14	 Then God said, “Let there be lights across the sky to distinguish day from night, to act as signs for seasons, days, and years, 
1	1	15	 to serve as lights in the sky, and to shine on the earth!” And that is what happened: 
1	1	16	 God fashioned two great lights—the larger light to shine during the day and the smaller light to shine during the night—as well as stars. 
1	1	17	 God placed them in space to shine on the earth, 
1	1	18	 to differentiate between day and night, and to distinguish light from darkness. And God saw how good it was. 
1	1	19	 The twilight and the dawn were the fourth day. 
1	1	20	 Then God said, “Let the oceans swarm with living creatures, and let flying creatures soar above the earth throughout the sky!” 
1	1	21	 So God created every kind of magnificent marine creature, every kind of living marine crawler with which the waters swarmed, and every kind of flying creature. And God saw how good it was. 
1	1	22	 God blessed them by saying, “Be fruitful, multiply, and fill the oceans. Let the birds multiply throughout the earth!” 
1	1	23	 The twilight and the dawn were the fifth day. 
1	1	24	 Then God said, “Let the earth bring forth each kind of living creature, each kind of livestock and crawling thing, and each kind of earth’s animals!” And that is what happened: 
1	1	25	 God made each kind of the earth’s animals, along with every kind of livestock and crawling thing. And God saw how good it was. 
1	1	26	 Then God said, “Let us make mankind in our image, to be like us. Let them be masters over the fish in the ocean, the birds that fly, the livestock, everything that crawls on the earth, and over the earth itself!” 
1	1	27	 So God created mankind in his own image; in his own image God created them; he created them male and female. 
